Symbol,Date,Open,High,Low,Close,Volume
GOOGL,2/22/2024,144.929993,145,142.800003,144.089996,27191900
LULU,5/19/2023,375.209991,375.209991,365.109985,368.529999,1566400
GOOG,9/19/2023,138.25,139.175003,137.5,138.830002,15479100
LULU,2/9/2024,466.609985,471.26001,458.779999,470.23999,1350000
BTC-USD,4/29/2023,29336.56641,29452.45508,29088.04297,29248.48828,10662634333
BTC-USD,9/3/2023,25869.47266,26087.14844,25817.03125,25969.56641,8962524523
LULU,4/12/2023,370,370,363.109985,363.540009,1092900
GOOGL,12/27/2023,141.589996,142.080002,139.889999,140.369995,19628600
TSLA,3/15/2024,163.160004,165.179993,160.759995,163.570007,96971900
BTC-USD,8/17/2023,28699.80273,28745.94727,25409.11133,26664.55078,31120851211
BTC-USD,11/22/2023,35756.55469,37856.98047,35670.97266,37432.33984,24397247860
GOOG,4/18/2023,107,107.050003,104.779999,105.120003,17641400
GOOG,10/4/2023,133.660004,136.570007,133.429993,136.270004,22848000
GOOGL,1/11/2024,143.490005,145.220001,140.639999,142.080002,24008700
LULU,7/28/2023,375.869995,378.640015,374.529999,377.959991,1041400
GOOGL,3/1/2024,138.429993,138.869995,136.919998,137.139999,31119500
TSLA,5/4/2023,162.710007,162.949997,159.649994,161.199997,95108500
GOOGL.A,10/30/2023,123.209999,125.400002,122.75,124.459999,28940100
TSLA,10/23/2023,210,216.979996,202.509995,212.080002,150683400
TSLA,5/31/2023,199.779999,203.949997,195.119995,203.929993,150711700
GOOGL,3/5/2024,131.880005,133.240005,130.669998,132.669998,40194800
GOOGL,3/21/2024,149.470001,150.369995,146.899994,147.600006,24735700
BTC-USD,10/16/2023,27162.62891,29448.13867,27130.47266,28519.4668,27833876539
GOOGL,3/27/2023,104.620003,104.760002,101.93,102.459999,31120900
GOOGL,7/20/2023,121.419998,124.089996,118.220001,119.199997,37906800
BTC-USD,8/24/2023,26431.51953,26554.91016,25914.92578,26162.37305,12871532023
GOOGL,3/31/2023,101.300003,103.889999,101.040001,103.730003,36863400
LULU,7/21/2023,384.619995,388.380005,381,382.959991,2641800
BTC-USD,1/31/2024,42946.25,43717.40625,42298.94531,42582.60547,24673628793
GOOGL,12/26/2023,141.589996,142.679993,141.190002,141.520004,16780300
GOOGL,2/21/2024,141.449997,142.690002,140.679993,142.550003,23315700
TSLA,5/3/2023,160.009995,165,159.910004,160.610001,119728000
GOOGL,1/30/2024,152.800003,153.619995,151.190002,151.460007,36331800
LULU,12/21/2023,507.859985,511.269989,505.51001,511.029999,896600
BTC-USD,2/4/2024,42994.94141,43097.64453,42374.83203,42583.58203,14802225490
GOOG,9/8/2023,135.869995,137.514999,135.869995,137.199997,17810700
GOOG,3/6/2024,134.240005,134.740005,131.949997,132.559998,23175200
GOOGL.A,9/5/2023,135.440002,136.419998,134.580002,135.770004,19403100
LULU,10/17/2023,415,419.859985,412.190002,412.940002,28064700
GOOG,4/4/2023,104.839996,106.099998,104.599998,105.120003,20377200
LULU,5/5/2023,385.329987,389.059998,382.630005,386.709991,1318100
TSLA,12/19/2023,253.479996,258.339996,253.009995,257.220001,106737400
GOOG,3/21/2024,150.320007,151.304993,148.009995,148.740005,19826700
GOOG,10/20/2023,138.589996,139.039993,136.244995,136.740005,24953900
GOOGL,3/15/2024,142.5,143.179993,140.029999,141.179993,49460600
LULU,3/19/2024,457.690002,467.859985,454.230011,467.269989,1428900
BTC-USD,1/26/2024,39936.81641,42209.38672,39825.69141,41816.87109,25598119893
BTC-USD,8/29/2023,26102.48633,28089.33789,25912.62891,27727.39258,29368391712
BTC-USD,10/14/2023,26866.20313,26969,26814.58594,26861.70703,5388116782
BTC-USD,8/22/2023,26130.74805,26135.50781,25520.72852,26031.65625,14503820706
GOOG,8/11/2023,129.201996,130.440002,128.75,130.169998,15191500
GOOG,1/18/2024,143.440002,145.585007,143.350006,144.990005,18876800
LULU,9/14/2023,394.179993,394.179993,384.309998,388.73999,914200
GOOG,3/1/2024,139.610001,140,137.975006,138.080002,28522000
